Title,Price,Kilometers,Fuel_Type,Transmission
2024 Volkswagen VIRTUS,₹11.20 lakh,"26,003 km",Petrol,Missing Transmission
2021 Maruti Swift,₹4.59 lakh,"44,956 km",Petrol,Missing Transmission
2019 Renault Kwid,₹2.25 lakh,"62,978 km",Petrol,Missing Transmission
2020 Tata ALTROZ,₹3.65 lakh,"62,456 km",Petrol,Manual
2016 Maruti Alto K10,₹1.50 lakh,"59,844 km",Petrol,Manual
2017 Hyundai Creta,₹4.22 lakh,"61,660 km",Petrol,Manual
2019 Hyundai Grand i10,₹3.20 lakh,"75,953 km",Petrol,Manual
2023 Nissan MAGNITE,₹4.47 lakh,"70,814 km",Petrol,Manual
2018 Ford Ecosport,₹3.88 lakh,"97,413 km",Petrol,Missing Transmission
2019 Tata NEXON,₹4.08 lakh,"41,765 km",Petrol,Manual
2014 Honda City,₹3.05 lakh,"35,595 km",Petrol,Manual
2018 Renault Kwid,₹1.66 lakh,"38,346 km",Petrol,Missing Transmission
2019 Maruti Swift,₹4.00 lakh,"44,527 km",Petrol,Missing Transmission
2022 Maruti Swift,₹4.61 lakh,"13,069 km",Petrol,Manual
2017 Hyundai Grand i10,₹2.59 lakh,"63,664 km",Petrol,Manual
2019 Ford Ecosport,₹4.65 lakh,"52,034 km",Petrol,Manual
2021 Tata NEXON,₹4.47 lakh,"50,666 km",Petrol,Manual
2024 Volkswagen VIRTUS,₹9.21 lakh,"29,188 km",Petrol,Manual
2020 Tata TIGOR,₹3.04 lakh,"73,338 km",Petrol,Manual
2021 Tata NEXON,₹5.67 lakh,"45,906 km",Petrol,Missing Transmission
2017 Honda City,₹3.86 lakh,"1,10,963 km",Petrol,Manual
2021 MG HECTOR,₹9.33 lakh,"48,427 km",Diesel,Manual
2025 Renault Kwid,₹4.54 lakh,"27,203 km",CNG,Manual
2018 Toyota YARIS,₹3.40 lakh,"69,932 km",Petrol,Manual
2015 Maruti Alto K10,₹1.57 lakh,"28,086 km",Petrol,Manual
2016 Hyundai Grand i10,₹3.10 lakh,"65,031 km",Petrol,Missing Transmission
2015 Honda City,₹3.33 lakh,"32,396 km",Petrol,Manual
2017 Hyundai Creta,₹4.91 lakh,"70,067 km",Petrol,Missing Transmission
2018 Hyundai NEW SANTRO,₹2.64 lakh,"49,363 km",CNG,Manual
2019 Renault TRIBER,₹2.98 lakh,"56,442 km",Petrol,Manual
2019 Maruti Celerio,₹3.05 lakh,"69,304 km",Petrol,Missing Transmission
2019 Hyundai Creta,₹6.27 lakh,"66,441 km",Petrol,Missing Transmission
2018 Toyota YARIS,₹4.68 lakh,"53,045 km",Petrol,Missing Transmission
2022 MG HECTOR,₹9.40 lakh,"72,016 km",Diesel,Manual
2017 Hyundai Grand i10,₹2.49 lakh,"59,928 km",Petrol,Manual
2021 Tata NEXON,₹6.26 lakh,"34,304 km",Petrol,Missing Transmission
2018 Ford Ecosport,₹4.42 lakh,"57,513 km",Petrol,Missing Transmission
2018 Toyota YARIS,₹4.55 lakh,"1,09,066 km",Petrol,Missing Transmission
2015 Maruti Swift Dzire,₹2.08 lakh,"65,853 km",Petrol,Manual
2022 Renault TRIBER,₹3.47 lakh,"43,748 km",Petrol,Manual
2020 Maruti Celerio,₹3.25 lakh,"44,705 km",Petrol,Missing Transmission
2019 Ford Ecosport,₹5.20 lakh,"36,055 km",Petrol,Manual
2022 Tata NEXON,₹6.31 lakh,"51,264 km",Petrol,Missing Transmission
2020 Hyundai Creta,₹8.67 lakh,"49,612 km",Petrol,Missing Transmission
2021 MG HECTOR,₹8.32 lakh,"84,782 km",Petrol,Missing Transmission
2016 Maruti Swift Dzire,₹2.46 lakh,"25,121 km",Petrol,Manual
2019 Tata TIGOR,₹3.11 lakh,"68,316 km",Petrol,Manual
2019 Maruti Celerio,₹3.15 lakh,"66,387 km",CNG,Missing Transmission
2014 Toyota Corolla Altis,₹3.44 lakh,"84,018 km",CNG,Manual
2017 Volkswagen Ameo,₹3.24 lakh,"37,773 km",Petrol,Manual
2022 MG HECTOR,₹8.77 lakh,"86,162 km",Petrol,Missing Transmission
2015 Maruti Alto 800,₹1.53 lakh,"41,553 km",Petrol,Manual
2016 Maruti Celerio,₹2.16 lakh,"75,697 km",Petrol,Missing Transmission
2021 KIA SONET,₹6.37 lakh,"42,429 km",Petrol,Manual
2021 Ford Ecosport,₹5.51 lakh,"38,909 km",Petrol,Missing Transmission
2022 Mahindra SCORPIO-N,₹14.43 lakh,"63,201 km",Petrol,Missing Transmission
2023 Hyundai Creta,₹9.69 lakh,"37,327 km",Diesel,Manual
2022 Tata PUNCH,₹4.61 lakh,"34,689 km",Petrol,Manual
2014 Maruti Alto 800,₹1.33 lakh,"11,457 km",Petrol,Manual
2024 Renault TRIBER,₹4.79 lakh,"15,192 km",Petrol,Manual
2023 Tata NEXON,₹6.34 lakh,"16,624 km",Petrol,Missing Transmission
2022 Tata NEXON,₹5.80 lakh,"91,247 km",CNG,Manual
2023 Hyundai Creta,₹11.56 lakh,"72,509 km",Diesel,Missing Transmission
2014 Maruti Alto 800,₹1.42 lakh,"35,191 km",Petrol,Manual
2018 Maruti Celerio,₹3.04 lakh,"35,077 km",Petrol,Missing Transmission
2020 Tata NEXON,₹4.52 lakh,"82,015 km",Petrol,Manual
2023 Honda City,₹6.57 lakh,"72,661 km",Petrol,Manual
2024 Toyota INNOVA HYCROSS,₹28.55 lakh,"24,109 km",Hybrid,Missing Transmission
2022 Renault Kiger,₹3.20 lakh,"67,925 km",Petrol,Manual
2022 Tata TIGOR,₹3.91 lakh,"68,693 km",CNG,Manual
2022 Maruti Celerio,₹4.40 lakh,"47,908 km",Petrol,Missing Transmission
2018 Honda City,₹5.54 lakh,"63,245 km",Petrol,Missing Transmission
2022 Tata NEXON,₹5.35 lakh,"78,603 km",Diesel,Missing Transmission
2021 KIA SONET,₹5.60 lakh,"43,458 km",Petrol,Manual
2020 Honda Amaze,₹3.60 lakh,"60,855 km",Petrol,Manual
2016 Maruti Eeco,₹2.70 lakh,"47,578 km",CNG,Manual
2017 Mahindra Kuv100,₹2.21 lakh,"47,077 km",Petrol,Manual
2015 Ford Figo Aspire,₹2.43 lakh,"27,601 km",Petrol,Missing Transmission
2024 Maruti Grand Vitara,₹7.72 lakh,"45,152 km",Petrol,Manual
2022 Tata NEXON,₹5.61 lakh,"98,286 km",Diesel,Missing Transmission
2025 Maruti Ciaz,₹9.65 lakh,"5,025 km",Petrol,Missing Transmission
2024 MG HECTOR PLUS,₹12.49 lakh,"19,587 km",Petrol,Manual
2022 Maruti S PRESSO,₹2.45 lakh,"85,097 km",Petrol,Manual
2017 Tata TIGOR,₹2.65 lakh,"41,290 km",Petrol,Manual
2015 Hyundai Grand i10,₹2.75 lakh,"69,913 km",Petrol,Missing Transmission
2017 Mahindra Kuv100,₹1.92 lakh,"40,077 km",Petrol,Manual
