Fuel_Type,Transmission,Clean_Price,Clean_Kilometers,Year,Brand,Model
Petrol,Manual,360000,60855,2020,Honda,Amaze
CNG,Manual,270000,47578,2016,Maruti,Eeco
Petrol,Manual,221000,47077,2017,Mahindra,Kuv100
Petrol,Missing Transmission,243000,27601,2015,Ford,Figo Aspire
Petrol,Manual,772000,45152,2024,Maruti,Grand Vitara
Diesel,Missing Transmission,561000,98286,2022,Tata,NEXON
Petrol,Missing Transmission,965000,5025,2025,Maruti,Ciaz
Petrol,Manual,1249000,19587,2024,MG,HECTOR PLUS
Petrol,Manual,245000,85097,2022,Maruti,S PRESSO
Petrol,Manual,265000,41290,2017,Tata,TIGOR
Petrol,Missing Transmission,275000,69913,2015,Hyundai,Grand i10
Petrol,Manual,192000,40077,2017,Mahindra,Kuv100
Petrol,Manual,470000,21295,2021,Ford,FREESTYLE
Petrol,Missing Transmission,520000,69923,2017,Honda,City
Petrol,Manual,724000,72949,2022,Maruti,Grand Vitara
Petrol,Manual,528000,71143,2021,KIA,SONET
Petrol,Missing Transmission,761000,56120,2023,Maruti,BREZZA
Petrol,Missing Transmission,877000,15517,2024,Tata,NEXON
CNG,Manual,440000,82280,2021,Hyundai,GRAND I10 NIOS
Petrol,Manual,401000,18448,2022,Tata,PUNCH
Petrol,Manual,533000,75203,2022,Maruti,BREZZA
CNG,Manual,245000,22314,2016,Mahindra,Kuv100
Petrol,Manual,461000,73770,2022,Hyundai,VENUE
Petrol,Manual,511000,46295,2020,KIA,SONET
Petrol,Manual,162000,50786,2014,Ford,Figo
Petrol,Manual,351000,75369,2016,Hyundai,Verna
CNG,Manual,465000,42108,2022,Tata,TIGOR
Petrol,Manual,273000,39123,2017,Hyundai,Grand i10
CNG,Manual,571000,81056,2023,Tata,ALTROZ
Petrol,Manual,587000,65753,2022,Maruti,Vitara Brezza
Petrol,Manual,451999,97414,2021,Hyundai,VENUE
Petrol,Missing Transmission,789000,64119,2023,Hyundai,VENUE
Petrol,Missing Transmission,819000,46199,2022,Maruti,BREZZA
CNG,Missing Transmission,492000,55220,2022,Tata,PUNCH
Petrol,Manual,471000,35022,2023,Tata,ALTROZ
Petrol,Missing Transmission,629000,47305,2022,Maruti,Vitara Brezza
Petrol,Missing Transmission,447000,62248,2017,Honda,City
Petrol,Missing Transmission,583000,51345,2021,KIA,SONET
Petrol,Manual,330000,82528,2018,Honda,WR-V
Petrol,Missing Transmission,561000,61992,2024,Tata,ALTROZ
CNG,Missing Transmission,220000,44971,2014,Hyundai,Grand i10
Petrol,Missing Transmission,590000,25655,2023,Tata,ALTROZ
Petrol,Manual,566000,35126,2021,Hyundai,VENUE
CNG,Manual,405000,71249,2022,Tata,TIGOR
Petrol,Manual,525000,50263,2021,Hyundai,VENUE
Petrol,Manual,490000,22583,2021,Maruti,Vitara Brezza
CNG,Missing Transmission,388000,113381,2018,Honda,Amaze
Petrol,Manual,156000,65988,2013,Honda,Amaze
Petrol,Manual,178000,68910,2015,Honda,Amaze
Petrol,Missing Transmission,575000,41825,2022,Hyundai,NEW I20
Petrol,Manual,195000,81613,2014,Hyundai,Grand i10
Petrol,Manual,580000,2145,2021,Maruti,S Cross
Petrol,Manual,923000,21293,2024,Mahindra,XUV 3XO
Petrol,Manual,440000,53069,2019,Hyundai,i20 Active
Petrol,Manual,612000,54682,2023,MG,ASTOR
Petrol,Manual,172000,104808,2015,Hyundai,Grand i10
Petrol,Missing Transmission,574000,40033,2024,Tata,ALTROZ
Petrol,Manual,216000,82679,2016,Honda,Amaze
Petrol,Manual,227999,86219,2017,Honda,Amaze
Petrol,Missing Transmission,446000,27300,2021,Hyundai,GRAND I10 NIOS
CNG,Manual,545000,42759,2023,Hyundai,AURA
